10000, "Cinemax (East)  (10000)"
10001, "Encore (East)  (10001)"
10002, "HBO (East)  (10002)"
10003, "HBO 2 (East)  (10003)"
10004, "HBO Signature (East)  (10004)"
10005, "Showtime (East)  (10005)"
10006, "Starz (East)  (10006)"
10007, "Starz (West)  (10007)"
10008, "Disney Channel (East)  (10008)"
10009, "Disney Channel (West)  (10009)"
10010, "TMC (East)  (10010)"
10011, "Showtime Extreme (East)  (10011)"
10012, "HBO (West)  (10012)"
10013, "Showtime (West)  (10013)"
10014, "Cinemax (West)  (10014)"
10015, "HBO 2 (West)  (10015)"
10016, "HBO Signature (West)  (10016)"
10019, "TMC (West)  (10019)"
10020, "MoviePlex East  (10020)"
10021, "Animal Planet (East)  (10021)"
10022, "More Max (West)  (10022)"
10023, "More Max (East)  (10023)"
10025, "TMC Xtra (East)  (10025)"
10026, "ActionMAX (East)  (10026)"
10027, "ActionMAX (West)  (10027)"
10028, "Thriller Max East  (10028)"
10029, "ThrillerMAX (West)  (10029)"
10040, "Nickelodeon Too (West)  (10040)"
10041, "Nicktoons Network (East)  (10041)"
10042, "BET Jams (East)  (10042)"
10043, "TR3s (East)  (10043)"
10045, "BET Soul  (10045)"
10046, "CMT Music  (10046)"
10063, "Starz Kids \& Family (East)  (10063)"
10064, "Starz Kids \& Family (West)  (10064)"
10065, "Starz5 Cinema (East)  (10065)"
10066, "Starz5 Cinema (West)  (10066)"
10067, "VH1 Classic (East)  (10067)"
10068, "MTV-U  (10068)"
10098, "HBO Latino (East)  (10098)"
10099, "HBO Latino (West)  (10099)"
10389, "Word Network  (10389)"
10391, "National Geographic Channel (East)  (10391)"
10398, "Daystar Television Network  (10398)"
10470, "Showtime Next (East)  (10470)"
10475, "Showtime Family (East)  (10475)"
10476, "Showtime Women (East)  (10476)"
10482, "Showtime Next (West)  (10482)"
10488, "Showtime Women (West)  (10488)"
10497, "ATnT Sports Net  (10497)"
10555, "CINEMAX SDTV  (10555)"
10556, "MOVIEMAX SDTV  (10556)"
10557, "Outer Max  (10557)"
10558, "Five Star Max (East)"
10582, "TV Land (West)  (10582)"
24064, "TV Land HDTV (East)  (24064)"
24188, "TV Land HDTV (West)  (24064)"
10584, "Stadium College Sports Atlantic  (10584)"
10585, "Stadium College Sports Central  (10585)"
10586, "Stadium College Sports Pacific  (10586)"
10591, "Brazzers TVXX (PPV Digital)  (10591)"
10634, "ESPN Deportes  (10634)"
10805, "Fox Sports Arizona (New Mexico South)  (10805)"
10882, "UniMas (East)  (10882)"
10898, "KUPB Univision 18  (10898)"
10911, "Showtime HDTV (East)  (10911)"
10935, "Motor Trend HDTV (10935)"
10956, "KTEL MeTV  (10956)"
10959, "Nick Music  (10959)"
10962, "Cooking Channel  (10962)"
10967, "Lifetime Real Women (10967)"
11242, "RFD-TV  (11242)"
11273, "La Familia Network  (11273)"
11292, "JUICE TV (KPJR DT3)  (11292)"
11299, "ESPN HDTV  (11299)"
11413, "AXS TV HDTV (11413)"
11414, "HDNet Movies (11414)"
11424, "EPTV  (11424)"
11429, "TBN Enlace USA  (11429)"
11430, "KUNP Univision 16  (11430)"
11436, "KATU HDTV  (11436)"
11437, "KOIN HDTV  (11437)"
11438, "KGW HDTV  (11438)"
11440, "KPTV HDTV  (11440)"
11441, "KPDX HDTV  (11441)"
11443, "Lifetime Movies (West)  (11443)"
11446, "Sportsman Channel  (11446)"
11471, "Food Network (West)  (11471)"
11493, "Tennis Channel  (11493)"
11532, "KOSA HD CBS  (11532)"
11543, "Fox Sports 2  (11543)"
11554, "CBS Sports Network  (11554)"
11571, "Home & Garden Television (West)  (11571)"
11577, "KTVX HD ABC  (11577)"
11578, "KUTV HD CBS  (11578)"
11579, "KUED HD PBS  (11579)"
11616, "TBS Superstation (West)  (11616)"
11637, "Local Orig (11637)"
11642, "KOSA CW  (11642)"
11647, "GolTV  (11647)"
11684, "Universal HD  (11684)"
11689, "KXRM HDTV  (11689)"
11690, "KKTVDT2  (11690)"
11714, "Starz Comedy (East)  (11714)"
11715, "STARZ Comedy (West)  (11715)"
11716, "Starz HDTV (East)  (11716)"
11717, "Starz HDTV (West)  (11717)"
11750, "Cinemax HDTV (East)  (11750)"
11778, "Cinemax HDTV (West)  (11778)"
11823, "NFL Network  (11823)"
